PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40085126,Stable and discriminating OCT-derived radiomics features for predicting anti-VEGF treatment response in diabetic macular edema.,2025 Mar 14,,,
40085104,Predicting risk in Hodgkin lymphoma for research and clinical practice.,2025 Mar 25,,,
40085076,Deuterium Metabolic Imaging of the Human Abdomen at Clinical Field Strength.,2025 Mar 17,,,
40085057,Persistent Sitting and Walking Difficulties After Abdominoperineal Excision and Anterior Resection: Results From the Quality of Life in Rectal Cancer (QoLiRECT) Study.,2025 Mar 14,,,
40085012,Moderators of digital cognitive-behavioral therapy for youth with sickle cell disease pain: secondary analysis of a randomized controlled trial.,2025 Mar 13,,,
40085000,Leveraging basecaller's move table to generate a lightweight k-mer model for nanopore sequencing analysis.,2025 Mar 14,,,
40084968,Evaluating Treatment Patterns in Bell's Palsy Using Nationwide Employer-Sponsored Healthcare Claims.,2025 Mar 14,,,
40084945,HLA-DQB1*03:01 and risk of Hepatitis B virus-related hepatocellular carcinoma.,2025 Mar 14,,,
40084943,"Treatment Delays in the Hispanic Population with Renal Cell Carcinoma: An Analysis of Over 150,000 Patients using the National Cancer Database.",2025 Mar 14,,,
40084939,CD103+CD56+ ILCs Are Associated with an Altered CD8+ T-cell Profile within the Tumor Microenvironment.,2025 Mar 14,,,
